scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
UTI-Banking & PSU Debt Fund,500,500,0.24,524.0,9,Anurag Mittal,3.32,1.2,3.44,-1.51,0.94,3,UTI Mutual Fund,1,Debt,Banking and PSU Mutual Funds,11.0,7.9,5.6,88.23529411764706,5.88235294117647,47.05882352941176,5.88235294117647,47.058823529411775,Moderate,3,Primary risk drivers: Volatility and Sharpe Risk.,100.0,58.82352941176471,100.0,87.64705882352942,0,100.0,96.29411764705883
UTI-Banking and Financial Services Fund,500,5000,1.39,824.0,10,Amit Premchandani,2.17,1.05,24.46,0.94,0.98,6,UTI Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,8.2,24.4,6.7,97.43589743589743,87.17948717948718,89.74358974358975,84.61538461538461,91.28205128205128,Very High,5,Primary risk drivers: Volatility and Sharpe Risk.,30.76923076923077,11.538461538461538,16.666666666666664,20.76923076923077,2,50.0,37.38461538461539
UTI-Bond Fund,500,500,1.29,285.0,10,Amandeep Chopra,3.55,5.68,6.12,0.72,0.96,3,UTI Mutual Fund,5,Debt,Medium to Long Duration Funds,12.0,10.4,4.4,100.0,9.090909090909092,9.090909090909092,9.090909090909092,45.45454545454546,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,100.0,100.0,100.0,100.0,0,100.0,100.0
UTI-CCF Investment Plan – Direct Growth,500,1000,1.52,685.0,10,Vetri Subramaniam,3.0,-0.7,16.2,0.94,0.95,6,UTI Mutual Fund,0,Solution Oriented,Childrens Funds,-3.3,24.1,10.1,100.0,100.0,87.5,37.5,85.0,Very High,5,Primary risk drivers: Volatility and Market Sensitivity.,75.0,25.0,75.0,60.0,2,50.0,58.0
UTI-Core Equity Fund,500,5000,1.68,1506.0,10,V Srivatsa,3.56,4.97,17.02,0.96,1.58,6,UTI Mutual Fund,2,Equity,Large & Mid Cap Funds,4.1,30.7,10.2,75.0,89.58333333333334,25.0,12.5,55.41666666666667,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,79.16666666666666,79.16666666666666,91.66666666666666,82.91666666666666,0,100.0,90.70833333333333
UTI-Corporate Bond Fund,500,500,0.23,3092.0,5,Anurag Mittal,1.7,1.63,2.06,0.74,0.89,2,UTI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.2,6.5,,63.888888888888886,55.55555555555556,66.66666666666666,44.44444444444444,58.888888888888886,Moderate,3,Primary risk drivers: Sharpe Risk and Volatility.,50.0,38.88888888888889,61.111111111111114,50.0,0,100.0,75.0
UTI-Credit Risk Fund,500,500,0.81,438.0,10,Ritesh Nambiar,0.68,0.94,10.47,-2.54,0.41,4,UTI Mutual Fund,4,Debt,Credit Risk Funds,5.0,8.3,-0.9,92.85714285714286,21.428571428571427,85.71428571428571,85.71428571428571,75.71428571428571,High,4,Primary risk drivers: Volatility and Sharpe Risk.,64.28571428571429,21.428571428571427,21.428571428571427,38.57142857142858,1,75.0,61.92857142857143
UTI-Dividend Yield Fund,500,5000,1.45,2786.0,10,Swati Kulkarni,2.93,1.9,14.96,0.82,1.41,6,UTI Mutual Fund,0,Equity,Dividend Yield Funds,-1.5,26.8,11.3,66.66666666666666,66.66666666666666,100.0,83.33333333333334,76.66666666666667,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,50.0,16.666666666666664,33.33333333333333,35.0,1,75.0,58.0
UTI-Dynamic Bond Fund,500,500,0.81,469.0,10,Sudhir Agrawal,4.4,6.35,6.76,0.56,0.96,3,UTI Mutual Fund,3,Debt,Dynamic Bond,12.5,11.0,6.3,100.0,9.523809523809524,16.666666666666664,4.761904761904762,46.19047619047619,Moderate,3,Primary risk drivers: Volatility and Sharpe Risk.,95.23809523809523,88.09523809523809,100.0,94.52380952380952,0,100.0,97.40476190476191
UTI-Equity Savings Fund,0,5000,0.68,257.0,5,V Srivatsa,4.06,3.98,5.99,0.91,1.75,3,UTI Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.1,14.7,,42.857142857142854,54.761904761904766,26.190476190476193,23.809523809523807,38.095238095238095,Low,2,Primary risk drivers: Market Sensitivity and Volatility.,76.19047619047619,78.57142857142857,80.95238095238095,78.33333333333334,1,75.0,76.23809523809524
UTI-Flexi Cap Fund,500,5000,0.9,23944.0,10,Ajay Tyagi,2.36,-2.88,17.47,0.97,1.14,6,UTI Mutual Fund,4,Equity,Flexi Cap Funds,-9.0,22.5,12.2,86.36363636363636,90.9090909090909,81.81818181818183,81.81818181818183,85.45454545454547,Very High,5,Primary risk drivers: Market Sensitivity and Volatility.,31.818181818181817,22.727272727272727,22.727272727272727,26.36363636363636,2,50.0,39.272727272727266
