scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10.0,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4.0,6.5,6.9,29.411764705882355,5.88235294117647,100.0,100.0,52.94117647058823,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,5.88235294117647,2.941176470588235,2.941176470588235,4.117647058823529,0,100.0,52.411764705882355
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288.0,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,65.9090909090909,59.09090909090909,40.909090909090914,40.909090909090914,54.54545454545456,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,70.45454545454545,63.63636363636363,63.63636363636363,66.36363636363636,0,100.0,84.0
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7,38.23529411764706,38.23529411764706,32.35294117647059,23.52941176470588,34.11764705882353,Low,2,Primary risk drivers: Volatility and Market Sensitivity.,64.70588235294117,70.58823529411765,79.41176470588235,70.88235294117646,1,75.0,71.70588235294117
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637.0,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,,75.0,50.0,100.0,100.0,80.0,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,31.25,12.5,12.5,20.0,2,50.0,37.25
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,78.94736842105263,89.47368421052632,47.368421052631575,31.57894736842105,65.26315789473684,High,4,Primary risk drivers: Market Sensitivity and Volatility.,78.94736842105263,57.89473684210527,73.68421052631578,71.05263157894737,1,75.0,74.60526315789474
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384.0,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,100.0,92.94871794871796,91.66666666666666,91.02564102564102,95.12820512820512,Very High,5,Primary risk drivers: Volatility and Market Sensitivity.,33.33333333333333,9.615384615384617,10.256410256410255,19.294871794871792,2,50.0,37.455128205128204
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,47.05882352941176,41.17647058823529,17.647058823529413,29.411764705882355,36.470588235294116,Low,2,Primary risk drivers: Volatility and Market Sensitivity.,67.64705882352942,88.23529411764706,76.47058823529412,76.47058823529412,1,75.0,73.97058823529412
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,55.55555555555556,72.22222222222221,16.666666666666664,27.77777777777778,45.555555555555564,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,88.88888888888889,88.88888888888889,77.77777777777779,85.55555555555556,0,100.0,93.44444444444446
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2,42.857142857142854,42.857142857142854,28.57142857142857,57.14285714285714,42.85714285714286,Moderate,3,Primary risk drivers: Downside Risk and Volatility.,71.42857142857143,78.57142857142857,50.0,67.14285714285714,0,100.0,84.42857142857143
Aditya Birla SL Digital India Fund,100,1000,0.88,3338.0,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,75.64102564102564,58.333333333333336,33.97435897435898,64.1025641025641,61.53846153846153,High,4,Primary risk drivers: Volatility and Downside Risk.,93.58974358974359,67.3076923076923,37.17948717948718,68.78205128205128,1,75.0,76.8525641025641
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850.0,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10.0,100.0,100.0,50.0,66.66666666666666,83.33333333333333,Very High,5,Primary risk drivers: Volatility and Market Sensitivity.,66.66666666666666,66.66666666666666,50.0,61.66666666666666,2,50.0,56.83333333333333
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795.0,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8.0,6.0,80.95238095238095,42.857142857142854,9.523809523809524,19.047619047619047,46.666666666666664,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,90.47619047619048,95.23809523809523,85.71428571428571,90.47619047619047,0,100.0,95.23809523809524
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836.0,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,91.66666666666666,97.91666666666666,100.0,100.0,96.25,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,2,50.0,27.083333333333332
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046.0,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,80.0,85.0,63.33333333333333,86.66666666666667,79.0,High,4,Primary risk drivers: Downside Risk and Market Sensitivity.,36.666666666666664,40.0,16.666666666666664,31.666666666666664,1,75.0,54.333333333333336
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451.0,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,71.42857142857143,76.19047619047619,76.19047619047619,80.95238095238095,75.23809523809524,High,4,Primary risk drivers: Downside Risk and Market Sensitivity.,19.047619047619047,28.57142857142857,23.809523809523807,23.333333333333332,1,75.0,48.30952380952381
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449.0,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25.0,10.4,72.72727272727273,86.36363636363636,63.63636363636363,20.454545454545457,63.18181818181819,High,4,Primary risk drivers: Market Sensitivity and Volatility.,47.72727272727273,40.909090909090914,84.0909090909091,56.59090909090909,1,75.0,64.02272727272727
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,42.857142857142854,71.42857142857143,28.57142857142857,42.857142857142854,45.714285714285715,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,42.857142857142854,85.71428571428571,71.42857142857143,64.28571428571428,0,100.0,77.85714285714285
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7,36.84210526315789,78.94736842105263,68.42105263157895,36.84210526315789,51.578947368421055,Moderate,3,Primary risk drivers: Market Sensitivity and Sharpe Risk.,36.84210526315789,36.84210526315789,68.42105263157895,46.315789473684205,0,100.0,71.26315789473684
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7,47.05882352941176,48.529411764705884,36.76470588235294,26.47058823529412,41.1764705882353,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,73.52941176470588,66.17647058823529,76.47058823529412,72.20588235294117,0,100.0,86.36764705882352
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2,14.705882352941178,11.76470588235294,20.588235294117645,20.588235294117645,16.470588235294116,Very Low,1,Primary risk drivers: Sharpe Risk and Downside Risk.,54.41176470588235,82.35294117647058,82.35294117647058,71.17647058823529,2,50.0,57.23529411764706
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4,23.52941176470588,32.35294117647059,29.411764705882355,35.294117647058826,28.823529411764707,Low,2,Primary risk drivers: Downside Risk and Market Sensitivity.,58.82352941176471,73.52941176470588,67.64705882352942,65.88235294117648,1,75.0,69.02941176470588
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,64.28571428571429,75.0,25.0,21.428571428571427,50.00000000000001,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,74.07407407407408,78.57142857142857,82.14285714285714,77.84391534391534,0,100.0,88.16798941798942
Aditya Birla SL Gold Fund,100,100,0.15,278.0,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2,64.70588235294117,70.58823529411765,85.29411764705883,75.0,72.05882352941177,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,36.76470588235294,17.647058823529413,27.941176470588236,28.38235294117647,1,75.0,53.36764705882353
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0,100.0,100.0,42.10526315789473,47.368421052631575,77.89473684210526,High,4,Primary risk drivers: Volatility and Market Sensitivity.,73.68421052631578,63.1578947368421,57.89473684210527,65.78947368421052,1,75.0,71.9736842105263
Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,90.9090909090909,81.81818181818183,36.36363636363637,36.36363636363637,67.27272727272728,High,4,Primary risk drivers: Volatility and Market Sensitivity.,90.9090909090909,72.72727272727273,72.72727272727273,80.0,1,75.0,79.68181818181819
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3,21.794871794871796,50.0,44.871794871794876,10.897435897435898,29.871794871794872,Low,2,Primary risk drivers: Market Sensitivity and Sharpe Risk.,38.46153846153847,56.41025641025641,90.38461538461539,59.42307692307692,1,75.0,63.019230769230774
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,84.61538461538461,64.1025641025641,47.43589743589743,33.33333333333333,62.820512820512825,High,4,Primary risk drivers: Volatility and Market Sensitivity.,83.97435897435898,53.84615384615385,67.94871794871796,70.12820512820514,1,75.0,75.33333333333334
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,32.69230769230769,71.15384615384616,72.43589743589743,60.256410256410255,53.846153846153854,Moderate,3,Primary risk drivers: Sharpe Risk and Market Sensitivity.,20.51282051282051,28.846153846153843,41.02564102564102,29.166666666666664,0,100.0,62.8525641025641
Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,93.93939393939394,93.93939393939394,18.181818181818183,18.181818181818183,63.63636363636364,High,4,Primary risk drivers: Volatility and Market Sensitivity.,80.3030303030303,84.84848484848484,84.84848484848484,83.03030303030303,1,75.0,78.46969696969697
Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,4.76,3.33,0.97,1.0,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0,50.0,45.0,5.0,15.0,33.0,Low,2,Primary risk drivers: Volatility and Market Sensitivity.,90.0,100.0,90.0,93.0,1,75.0,83.4
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,24.358974358974358,58.333333333333336,69.23076923076923,61.53846153846154,47.56410256410257,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,9.615384615384617,32.05128205128205,39.743589743589745,25.384615384615387,0,100.0,59.53846153846153
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,100.0,91.66666666666666,41.66666666666667,8.333333333333332,68.33333333333333,High,4,Primary risk drivers: Volatility and Market Sensitivity.,100.0,66.66666666666666,100.0,90.0,1,75.0,84.5
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3,47.82608695652174,47.82608695652174,69.56521739130434,73.91304347826086,57.391304347826086,Moderate,3,Primary risk drivers: Downside Risk and Sharpe Risk.,34.78260869565217,34.78260869565217,30.434782608695656,33.47826086956522,0,100.0,67.0
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,82.35294117647058,73.52941176470588,23.52941176470588,47.05882352941176,61.764705882352935,High,4,Primary risk drivers: Volatility and Market Sensitivity.,94.11764705882352,82.35294117647058,58.82352941176471,80.0,1,75.0,80.32352941176471
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,20.0,41.66666666666667,51.66666666666667,36.666666666666664,34.00000000000001,Low,2,Primary risk drivers: Sharpe Risk and Market Sensitivity.,33.33333333333333,51.66666666666667,66.66666666666666,48.83333333333333,1,75.0,58.81666666666666
Aditya Birla SL Overnight Fund,0,5000,0.07,13399.0,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,73.07692307692307,44.230769230769226,42.30769230769231,44.230769230769226,55.38461538461538,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,57.692307692307686,61.53846153846154,59.61538461538461,59.42307692307692,0,100.0,79.36538461538461
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3,100.0,96.15384615384616,88.46153846153845,100.0,96.92307692307692,Very High,5,Primary risk drivers: Volatility and Downside Risk.,61.53846153846154,19.230769230769234,7.6923076923076925,32.69230769230769,2,50.0,47.11538461538461
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,76.47058823529412,44.11764705882353,17.647058823529413,29.411764705882355,48.82352941176471,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,88.23529411764706,88.23529411764706,76.47058823529412,84.70588235294117,0,100.0,93.05882352941177
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258.0,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,17.9,,85.0,75.0,70.0,55.00000000000001,74.0,High,4,Primary risk drivers: Volatility and Market Sensitivity.,65.0,35.0,50.0,51.5,1,75.0,65.95
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91.0,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15.0,,55.00000000000001,45.0,75.0,60.0,58.0,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,55.00000000000001,30.0,45.0,44.5,0,100.0,74.35000000000001
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27.0,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,4.6,,15.0,5.0,100.0,95.0,46.0,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,7.5,5.0,10.0,7.5,0,100.0,53.75
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26.0,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,,5.0,100.0,95.0,100.0,61.0,High,4,Primary risk drivers: Market Sensitivity and Downside Risk.,7.5,10.0,5.0,7.5,1,75.0,41.25
Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,91.30434782608695,39.130434782608695,17.391304347826086,30.434782608695656,53.913043478260875,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,82.6086956521739,86.95652173913044,73.91304347826086,81.30434782608694,0,100.0,90.91304347826086
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,80.95238095238095,23.809523809523807,9.523809523809524,14.285714285714285,41.9047619047619,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,85.71428571428571,95.23809523809523,90.47619047619048,89.99999999999999,0,100.0,94.14285714285714
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,88.0,86.0,96.0,96.0,90.80000000000001,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,8.0,8.0,8.0,8.0,2,50.0,29.0
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3.0,16.1,5.8,23.52941176470588,31.372549019607842,96.07843137254902,96.07843137254902,54.117647058823536,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,3.9215686274509802,5.88235294117647,5.88235294117647,5.098039215686274,0,100.0,52.31372549019608
AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,,5.88235294117647,48.529411764705884,58.82352941176471,58.82352941176471,35.58823529411765,Low,2,Primary risk drivers: Sharpe Risk and Downside Risk.,2.941176470588235,44.11764705882353,44.11764705882353,27.64705882352941,1,75.0,46.38235294117647
AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,20.454545454545457,18.181818181818183,27.27272727272727,27.27272727272727,22.727272727272727,Low,2,Primary risk drivers: Sharpe Risk and Downside Risk.,81.81818181818183,77.27272727272727,77.27272727272727,79.0909090909091,1,75.0,77.5909090909091
AXIS Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0,26.31578947368421,26.31578947368421,78.94736842105263,89.47368421052632,49.473684210526315,Moderate,3,Primary risk drivers: Downside Risk and Sharpe Risk.,31.57894736842105,26.31578947368421,15.789473684210526,25.263157894736842,0,100.0,63.89473684210527
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,11.76470588235294,32.35294117647059,11.76470588235294,11.76470588235294,15.882352941176471,Very Low,1,Primary risk drivers: Market Sensitivity and Volatility.,47.05882352941176,94.11764705882352,94.11764705882352,75.29411764705881,2,50.0,56.99999999999999
AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,46.42857142857143,21.428571428571427,100.0,96.42857142857143,62.14285714285715,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,3.7037037037037033,3.571428571428571,7.142857142857142,4.695767195767196,1,75.0,39.6494708994709
AXIS Children’s Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,50.0,62.5,62.5,87.5,62.5,High,4,Primary risk drivers: Downside Risk and Market Sensitivity.,50.0,50.0,25.0,42.5,1,75.0,60.25
AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,63.888888888888886,36.11111111111111,22.22222222222222,16.666666666666664,40.55555555555556,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,94.44444444444444,83.33333333333334,88.88888888888889,89.44444444444446,0,100.0,95.72222222222223
AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,14.285714285714285,75.0,14.285714285714285,42.857142857142854,32.142857142857146,Low,2,Primary risk drivers: Market Sensitivity and Downside Risk.,42.857142857142854,92.85714285714286,64.28571428571429,64.28571428571429,1,75.0,65.35714285714286
AXIS Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,90.47619047619048,95.23809523809523,66.66666666666666,61.904761904761905,80.95238095238095,Very High,5,Primary risk drivers: Market Sensitivity and Volatility.,71.42857142857143,38.095238095238095,42.857142857142854,52.857142857142854,2,50.0,55.14285714285714
AXIS Equity Hybrid Fund,1000,500,0.89,1699.0,5,Ashish Naik,2.37,-1.88,13.0,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,,83.33333333333334,93.33333333333333,96.66666666666667,96.66666666666667,90.66666666666669,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,8.333333333333332,6.666666666666667,6.666666666666667,7.333333333333333,2,50.0,28.866666666666667
AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,95.23809523809523,95.23809523809523,80.95238095238095,95.23809523809523,92.38095238095238,Very High,5,Primary risk drivers: Volatility and Market Sensitivity.,50.0,23.809523809523807,9.523809523809524,30.0,2,50.0,44.0
AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,54.54545454545454,43.18181818181818,95.45454545454545,95.45454545454545,68.63636363636364,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,1,75.0,42.04545454545455
AXIS Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,94.73684210526315,94.73684210526315,100.0,100.0,96.84210526315789,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,2,50.0,27.63157894736842
AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9,57.89473684210527,42.10526315789473,36.84210526315789,15.789473684210526,42.10526315789473,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,65.78947368421053,68.42105263157895,89.47368421052632,73.6842105263158,0,100.0,85.26315789473685
AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7,67.64705882352942,70.58823529411765,72.05882352941177,75.0,70.58823529411765,High,4,Primary risk drivers: Downside Risk and Sharpe Risk.,32.35294117647059,30.88235294117647,27.941176470588236,30.588235294117645,1,75.0,53.147058823529406
